manager_name,kpi,value,source_type,notes
John Heitinga,big6_l,4,estimated,"4 CL defeats in 4 games 2025-26. Some Eredivisie losses to top Dutch clubs. Source: NL Times, ESPN"
John Heitinga,big6_d,2,estimated,"Some draws in Eredivisie against PSV/Feyenoord"
John Heitinga,ko_win_rate,38,estimated,"2023: reached KNVB Cup final (lost on penalties to PSV). 2025-26: poor Champions League. Mixed knockout record"
John Heitinga,u23_minutes_pct,22,estimated,"Ajax historically use heavy youth; Jong Ajax feeds first team. Heitinga continued this tradition. Source: Transfermarkt"
John Heitinga,academy_debuts,5,estimated,"Ajax academy consistently produces players; several debuts under Heitinga"
John Heitinga,youth_progression_count,3,estimated,"Some Ajax youth progressed or sold during his tenure"
John Heitinga,injury_days_season,700,estimated,"Eredivisie has fewer games; moderate injury burden for Dutch club"
John Heitinga,player_availability,89,estimated,"Decent availability in less congested Eredivisie schedule"
John Heitinga,squad_rotation_index,0.37,estimated,"Ajax traditionally rotate well; Heitinga maintained this"
John Heitinga,squad_value_delta_m,20,estimated,"Ajax squad value relatively stable; some young player development offset departures"
John Heitinga,net_spend_m,35,estimated,"Ajax invested in squad for Champions League return but sales offset some spending"
John Heitinga,sell_on_profit_m,30,estimated,"Ajax traditionally profit from academy sales"
John Heitinga,fan_sentiment_pct,35,researched,"Sacked after 4 wins in 13 games. Fans frustrated. 2023 interim spell better received. Source: NL Times, ESPN, Football Oranje"
John Heitinga,media_vol_sigma,1.60,estimated,"Very high media volatility: sacking from Ajax, chaotic CL campaign, move to Spurs as assistant generated lots of headlines"
